reviews,label
"Ga tau mau bilang apa
Asli deh ini bagus banget guys harga e cuma 30rb aja padahal tapi kwalitas bagus polll💘💘💘
Bahanya jatuh gitu kek kemeja mahal padahal murah banget tapi kwalitas oke⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐
Makasih seller
Fiks si ini bakal jadi langganan 😻
Nyesel cuma beli 2
Nextime mau beli warnah hitam",1.0
sebagusss ini .. adem bahannya dengan hargaaa segituu . jgn ragu ragu beli di toko ini buruan cek out ..... thanks seller ..... love love,1.0
"Trauma beli disinii bahan katanya katun pas asliinya  kaya bahan yg bau bau gt dibadan ,bahanya kresek2",0.0
"Uda nyampe lama si baru saya kasih penilaian.. kemeja harga segitu harusnya di murahin dikit si soalnya bahannya tipis, panas, dan menerawang karna warna putih.. tapi yasudahlah musti di dobel pake manset biar gk nerawang bgt..",0.0
"Bahan nya lembut, engga terlalu nerawang karna beli nya yg warna gelap ya. Tapi baguss lah di harga segitu",1.0
Pengiriman sangat lama gak ada respon juga dari penjualnya bahannya juga tipis banget tapi ya lumayanlah,0.0
Sumpaahhh baju 30rb sekeren iniiii gak ngerti lgi bener2 diluar ekspektasii😍😍bahannya tu bukan bahan abal2 gtuu adem gak kasar worth it lah pokoknyaa. Pasti koleksi warna lainnya nii thx ka❤️❤️,1.0
"Sumpah tipis banget kemeja nya terawang banget, dan simpel kemeja biasa aja gitu, terlalu mahal sih kalau harga sigitu",0.0
"Hem nya baguss bangett,mo meninggoy,gak mengecewakan gak nyesel juga,harga e mantullll.
Makasihhh udah dateng tepat waktuu.admin e fast respon bangett, Gedenya pas dibadan aku, Bb 47",1.0
adem bahannya ga terlalu tipis ga terlalu tebal jugaa,1.0
"Bajunya dasarnya kasar nggak soft jadi nggak menyerap keringat dan tipis, nerawang juga",0.0
Lmyan baguss bhanya bju putih emang harus pake daleman yaa ssukses terus seller terimakasih,1.0
"Ukurannya pas,, bahan gak terlalu panas. Makasih babang kurir",1.0
"barang cepet bangetttt nyampenya gilaaaakkkkkk
pesen kemarin pagi tadi sore nyampe tau aja klo urgent😁
bahan lumayan kayanya agak nerawang dikit gapapa tinggal pake manset baju
dan ada sedikit noda di kerahnya🙁tapi gapapa overall okeelahh maciewwww seleerrrrrrrr❤❤❤❤❤",1.0
"Bahan alus, tipis tapi sepertinya enggak nerawang kalo warna gelap. Pengiriman cepet. Recomended lah buat ganti2",1.0
Kecil brrrooo 120cm g segitu.entahlah harus komen apa. Kalo bahan tipis g masalah. Tapi ukurannya bukan 120,0.0
Okesih. Cuma ketiaknya yg kekecilan buatku. Kayaknya mau ku jual lg,0.0
"Barangnya udh smpee. Pengemasan nyaa lamaa bgtt. Mngkin krn 12.12. pengirimannya jg telat nyampee. Bahannya adem. Ga tebal, ga tipis jgaa. Worth it to buy lah. Anw, army nya lumayan gelap dr yg di foto yaa. But ttp oke sih",0.0
"Bahann nya baguss poll,gak terlalu Merawang,gak panas dipake juga,three betsss SUKAA bangettt😍😍😍😍",1.0
bahanya kok tipis banget ya terus agak kaku kayak panas gitu tapi gak tau kalo udah di cuci ntar gimana,0.0
Real picture tp ternyata kekecilan sama aku 😭😭😭 jadi gk bs makai duhh siapa yang mo beliii jual rugi ajalahhh,0.0
"Tdk real pick kecewa di, tapi ya emang harganya sesuai,40 minta Slamet😅😅😅😅😅😅",0.0
"Ini pembelian ke 2 di toko ini tapi kali ini agak kecewa karna baju yg warna putih nya kotor di bagian belakang sama depan nya juga. Terus yg baju putih kyknya lebih besar dari ukuran yg lain 
Tapi masih bisa di pakai. nanti klw noda nya bisa hilang bintangnya aku ubah lagi",0.0
"baguss banget, bahan ga terlalu tipis juga ❤️😭",1.0
pengiriman agak lama😁,0.0
Bajunya kotor di bagian leher,0.0
Kaka kerahnya ko bolong pengiriman jg agak lama,0.0
Kecewa..bngaaaatt..kirain katun ternyata gk...kayak kain kafan gitu..bahanya tidak jatuh...,0.0
"Bahan lumayan dengan harga segitu, cuman warna yang dikirim beda sma yang di foto, pesan mocca tpi yang datang lebih gelap dari pada yang di foto, malah kyak coklat pramuka",0.0
Kedua kaliny beli kemeja dsni lembut bgt lumayan tebel jg pdhl hargany ga mahal,1.0
"Kecewa. Bahan y jelek, panas warnanya juga gak sesuai ekspektasi. Kancing baju y gak sesuai foto. Emang ya ada harga ada rupa 😅",0.0
"Kemejanya bagusss bangetttt, nyesel sih cuma beli 1, tp gapapa nanti order lagi hehe, makasi seller yg sudah amanah & mas kurir..",1.0
"Bahan bagus adem dipake tebal jugaa. Cuma pengiriman agak lama
Tapi barang sangat puass",1.0
"Pengiriman lama dan kualitas produk sangat2 tipis nerawang, mnyesal belanja d toko ini",0.0
"Keterangan di gambar panjang baju 64, tapi ini 60cm,  sedikit kecewa..",0.0
"Jelek bgtttttttt,nyesel.belinya,bahanya tipiss bgt, gk sesuai dgn ekspetasi",0.0
Agak kecewa sih modelnya kaku banget kaya mau buat kerja training padahal di gambar buat casual gitu huh,0.0
"Kainnya sangat tipis dan kemejanya kekecilan, pengirimannya lama banget. Nyesel bnget udh pesan",0.0
"Model tunik ini sangat cantik, warnanya juga grey cantik. Harganya reasonable. Cuma, pengirimannya lama banget. It's a good product, though.",1.0
"Pesanan baru nyamapai ni, pengiriman lama hampir 3 minggu. Bahannya jelek, buat harga segini mahal dengan bahan yg sangat tipis.",0.0
"warna abu nya lebih gelap jd seperti wrn hitam, untuk ukurannya termasuk kecil jd xxl seperti xl, bahan nya tipis ga begitu tebal",0.0
Bahannya adem dan bagus cuma salah kirim warna... padahal pesen warna biru tapi dikirim warna grey untuk kurit anteraja ramah...,0.0
"Trimksh sdh sampai...bhn agk tipis , tp lembut . Kirain akan sama warna abu muda seperti di pict ehhh datengnya abu gelap. Kalau seprti itu lain kali pictnya diganti biar yg beli g kecewa. Cuma saran aja sih... karena ini mau dijual lagi. Yg satu ga jdi dibeli deh. Smga kdepnnya lbh baik",0.0
Warna nya gak sesuai dengan yang di foto...terlalu gelap .,0.0
Paket q uda sampe dgn selamat tp syng agak mengecewakan kok wrnny beda ya abu tua tu,0.0
Agak kecewa sih bahan ny tipis bangat,0.0
Lama nyampenya...,0.0
warna nya jreng banget kirain sof atau ga jreng ..jdi ngeri mau make nya ga cocok di badan sama bingung pake celana wrna apa.. ga enk wrnanya mending ambil wrna lain deh klo mau beli jng ccho klo model nya mendingan la,0.0
Ini warnanya lebih nyala tpi kalo difoto jadi gituu gk tau kenapaa trus kainnya licinn enak si kalo dipake aku sukaa cuma bingung stylenya jadi gimana soalnya lengannya cuma sampe depan siku ya agak panjang lah suka banget tpi jahitannya yang bgian dalem kurang rpi jadi mau dirapihin lagii,0.0
Awalnya ragu karna harga yg begitu murah bgt dan liat komentnya positif bgt jadi sukaa and mau beli 2 tpi takut nyesel karna suka bgt harga dan kualitas oke bgt so pertama kali beli langsung 5 dan 5²nya itu smuaa gada yg rusak/bikin kecewa omgtt trims reseller dan kurir amanah bgttt,1.0
"bahan oke..
hanya saja ekspektasi nya tuu lengannya tidak cantung gitu, tapi ternyata cantung, whehe",0.0
Kecewa bnget 😭😭,0.0
Saya pesenya cardigan Batwing bukan pasmina sangat kecewa😖😠😠😠😠😠,0.0
Bajunya ada yang robek fatal bgt sumpah kecewa parah sama toko ini lain kali teliti lagi ya,0.0
"Baguss, cuma bahannya tipis dn keset"" gitu
Lengannya jga trlalu pendek cuma sesiku doang.
Sesuailah sama hargaa",0.0
"Saya sangat kecewa,saya pesan hitam kok abu abu yg sampe ,lain kali teliti dong kak,soalnya itu punya orang bukan punya saya 😡",0.0
kainnya mayan lah ukuran pas si  badan tpy ada cacat sedikit bolong di bagian pundak untung g keliatan tpy gpp,0.0
"Yang dikirim cuma baju aja, jilbabnya TDK ada..padahal pesan jilbabnya juga",0.0
Gilaaa inisih cardigan ternyaman enak banget buat pergi pergi,1.0
"Respon seller sangat buruk. Dichat baik2, gak ada balasan. Baik2 dichat mau ajukan pembatalan malah ditolak. 3 hari kemudian saat barang baru proses kirim baru ada respon ""sudah dikirim kai"" yaiyalah😴😴. oiya di leher cardingannya cuttingannya aneh banget, mending gausah ada bagian itu.",0.0
"CEPET BANGET PENGIRIMAN NYA, PADAHAL DARI KUDUS JAWA TENGAH KE BEKASI CUMA SEHARI DOANG, SAMPE KAGET SENENG😭😭😍😍😍😍😍😍",1.0
Gila bguss bngt thanksss pokonya bkl jdi langganan🖤,1.0
"Aneh bajunya bikin emosi ga pas bgt d badan Ngantung plus nyekek bgt d leher klok d pakek ke tarik dari lengannya pas d pakek bajunya,, nyesel bgt :'(",0.0
Dilengan pendek bngt and nerawang,0.0
Terlalu kecillll,0.0
Pengiriman lama,0.0
Pesen 2 cuma dikirim 1 :(,0.0
"Ga sesuai motifnya, beda banget sama yg di foto, kancing yg notabene cuma hiasan aja ga lurus
Mengecewakan",0.0
"Bagus banget barangnya realpict. Pengiriman jg cepat. Sy kira lama krn review nya byk yg blg smpe 2mgu, ternyata cepat. Makasih seller.
Cuss beli lagi disini. Yg mau beli jgn ragu. Meskipun agak mahal, tp barang mmg nggak murahan.",1.0
"pengiriman lama bgt dahh trs di gambar warnanya agak cream muda gitu pas nyampe warnanya malah putih, dih",0.0
"LIHAT DI NOTE NYA SY MAU BUNGA BESAR WARNA BIRU. YG DATANG BUNGA KECIL WARNA PUTIH. SY TIDAK TAU ANDA TIDAK MEMBACA NOTE NYA, ATAU ANDA TAU TAPI DIAM2 SAJA TIDAK INFO. ASAL MAIN KIRIM SAJA!!!",0.0
"Gila bagus bangettt ga nyesel stok tinggal 1 cuss gw order
Makasih 🙏🙏😘sucses terus ya",1.0
"coraknya pas, ga beda jauh sama yang di foto. bahannya jatuh, adem, tipis tapi ga terlalu nerawang. pas di banget di aku yang tingginya 167 dan bbnya 52. pengiriman agak lama tapi gapapa, barang datang dengan selamat. thank you💐💌💋",1.0
"Baju nya cantik .
Ngak kecewa pokok nya .bahan nya juga adem .",1.0
Kecepatan pengiriman nya lumayan lambat sih,0.0
lama di pengirimannya,0.0
kedua kalinya beli disini. baguss kok. meskipun gak 0 ongkirrr kalo ke aku,1.0
"Bajunyaa baguuusss bangeettt😍 di aku tangannya ga terlalu pendek, pas deh pokoknya.",1.0
"Maaf foto aga melenceng, kemeja nya oke cuma kependekan di lengan, bahan jga oke. Sukaa ama kemeja nya cuma di aku aga kekecilan hehe",1.0
Pasti nya cantik bajunya udh dua kali kok order disini foto itu order baju yg pertama,1.0
"Baguss bgt asliii, ga usah ragu² buat chekout gyss! 
maap ga sempet ngefoto kemeja nya soalnya udah keburu dipake sma sppu",1.0
"Bajunya pendek bnget dan lengannya terlalu tinggi, sy fikir 7/8 jd gak bisa dipake buat pengguna hijab.. Kainnya tipis bget dan terawang jahitan agak kasar….",0.0
"Bahannya jatoh, adem, awalnya kok gede ternyata engga hihi maciw next order lagi",1.0
"Wkwkw kocak, produk bajunya kurang sesuai dg yg di gambar. Tangannya lebih pendek. Gabisa gabilang aneh bgt ke ini baju",0.0
"Bagussss polll , cuma emang model tangan nya 3/4 jadi kayak keliatan bngtt",1.0
Alhamdulilah udah sampai. Adem parah sih bahannya walaupun tangannya rada kegedean lengannya tp mungkin emang modelnya begitu. Sukakk,1.0
Ketiga kalinya beli disini cuttingnya emang cocok bangett bikin keliatan kurus weyy cuma kok skrg harganya naik sih😍🥺,1.0
"Pengirimann cepet banget sih, bahnnnya adem rayon nya juga yang ngga terlalu tipis gitu, sukaaaa, bakal order lagi sih",1.0
"Plisss inimah nyesel beli 1 doangggg:') bahannya adem pisan ngga gerah sama sekali cuy, awalnya mikir bakal kegedean tpi malah jdi keliatan montok parah🤪🥰 cpt bgt lgi sehari dah nyampe, next beli lagi mau warna sage🥺",1.0
baguss bangettt racun dari kak Alda lengan ¾ model oversize,1.0
bagus banget langganan disini ga bosan bahan adem sejuk dan ga nerawang,1.0
Ke 2xnya beli disini emang paling top harga murah tapi ya ga murahan kualitasnya,1.0
"Kereeeen nih bahan nya adem, sempet salah beli di toko sebelah dengan model yg sama tapi beda bahan, good seller recommended banget 👍🏻",1.0
Ternyata warnanya gak sama kayak di foto. Warnanya lebih tua dari fotonya. Duh mdh2 cust aku gak kecewa.,0.0
"Udah 2 kali belanja disini,dan selalu baguss,but untuk bahan yang kali ini lebih kasar aja sii,yang kemarin bener² halus,
Maybe harus di cuci dulu baru dapet wbahan yang halus ✨✨",1.0
kedua kalinya beli disini... emang ga pernah mengecewakan... thanks seller,1.0
"Paketnya nyanpenya cepett banget, biasanya 3haei paket ku baru nyampe eh yang ini cuma 2 hari. Kemejanya juga bagus bahannya lembut ga terlalu tebel juga ga terlalu tipis, worth it dengan harga segitu. Oh iya coksunya ga mirip pink, itu mungkin karena pake flash jadi kayak mirip pink gitu.",1.0
Buagus bgt sihhh gila dengan harga segitu kainnya adem banget terus jatuh pula sukakk next mau beli lagi ahhh hehehehehehe,1.0
Bagusss bangett recommended yg mau beli ditoko ini ga diragukan lagi ga ges yaa gudd muat di aku yg 68 kg xixixi,1.0
bagus banget astagaaa kacau sih fix bgt nnti rebuy woeeeeee,1.0
Bahan adem. Warna soft. Pokoknyaaa bagussss pollll dehhh. Udahh beli yang ke 3 kalii juga karna emang sebagus ituu,1.0
Beli yg keduakalinyaaa gapernah gagal🥰🥰 tengkyuuu endorse akudongggg ahahaha,1.0
"Beli model kaya gini di 2 toko cuma beda warna aja
Perbedaan bahan kelihatan bagus ini bahannya
Tidak Merawang bahan langsung klihatan adem padahal sama bahan rayon",1.0
"Harga segini yah ttp worth it,mau ber ekspetasi katun rayon di mall ya salah ,cm cutting an blakang kurang sinkron,miring gtu ga simetris",0.0
"Bajunya bgus bahannya adem, jumbo juga ukurannya ternyata tangannya pendek baget tp gapapa baguss kok",1.0
"Bahannya super adem banget , kainnya lemes gitu , jatuh . Cmn ke gedean jadi makainya kayak ibu2 hamil",1.0
"Masyaallah cantiknya 🥰 ga nyesel order disini 
Makasi ya ka, Insyallah bakalan order yg warna lain, bahannya ga terlalu tebal dan ga terlalu tipis, sesuai harga ❤️ tapi ku syukkaaaaa😍😍😍🤫",1.0
"Bagus bajunya, kainnya juga jatuh dingin lagi, pokoknya gak rugi deh klo beli di sini... Bagusssssssssssssssssssssssss",1.0
"Bahan adem, kualitas standar, panjang lengan lebib pendek drpd perkiraan",1.0
"sumpah bagus bangett, bahannya adem, pengirimannya juga cepet bgt sampe kaget kok udh sampe aja. nggknyesel dan tidak mengecewakan mau order lg tp warna yg dipgn dh keburu habis:(",1.0
"okeeeeeeeeeeeeeeeeeeeeeeeeeee bangettttt
ga kecewa ih, besok belanja sini lagi aja",1.0
Adem bingitt bahannya sukaa deh sayangnya kurang panjang dikit tpi kualitas tetep okeeee kok,1.0
Kemejanya bagusss bgt bahannya warnanya bener bener soft bgttt ga norak gt sihhh bahaannyaa juraaaaaaaa bgt,1.0
"Bagusss bgt kemejanya bs jadi outer juga, lengannya ga terlalu pendek bahannya adem. Thank you",1.0
"Bahannya adem , kain jatuh gtu . Ga panas dan ga bikin gerah , sayangnya agak pendek di aku pas2an di bawah pinggang dikit , tapi sukaaa bngt",1.0
baguss bangetttt barang oriiginal tidak ada kerusakan di pesanan terimakasihh🔥🔥🔥🔥🔥🔥🔥🔥,1.0
Ga kecewa dengan barang nya real pic banget dan adem di pake pas banget dengan cuaca panas...makasih kak,1.0
Best banget ini mah nyesel yg model ini cuma pesen satu bahannya lembut syukaa pokoknya thanks seller insyaallah jadi langganan tapi pengiriman agak lambat menurutku...,1.0
"SUKAAAA BANGETTTTT🥰🥰🥰🥰
BAHANNYA ADEMMMMNNNN PARAH❤️❤️❤️",1.0
Bagus👍👍 bahannya adem hanya saja modelnya kurang cocok untuk aku. Tapi bagus banget kok ini hanya masalah taste aja 😄,1.0
"Cepet banget baru kemarin pesen hari ini langsung dateng, bahan bagus rayon lengannya emang agak pendek tapi overal oke kok bagus",1.0
"ga nyangka cepet bangettt sampenyaaa! bahannya bagusss banget,adem dipake,bener bener ga ngecewain. nyesel cuma beli 2 doang,bakal beli lagi si!",1.0
"Alhamdulillah barangnya bagus, kalo masalah bahan terawang apa ngga, setau saya sih bahan rayon tetep terawang mau harga mahal apa ngga, tapi ini worth it sih menurutku dengan harga segitu",1.0
Fix ini sih bgus parah...mksh seller,1.0
"Bahan nya adem banget,lembut gak nyangka bakal sebagus ini warna nya juga gak norak😭❤️‍🔥",1.0
gila whorit bgt sumpah. bahannya itu adem. Next bakal order disini,1.0
"sudah 2 kali beli disini, next mau beli lagi krna emang sebagus itu😍😍",1.0
"Bahan bagus adem jatoh, tapi rada kecewa aku minta warna lilac yang dikirim abu kecewa banget sih jd males kalo mau beli lagi teh",0.0
"Bagus bangetttttt bahannya adem dan ga nerawang best deh, cuma masalah dipengiriman aja tapi overall good next bakal oder lagi👌",1.0
"Baju tipis, agak nerawang
Untung warnanya item, mungkin kalo warna laen lebih nerawang lagi
Kain agak kasar",0.0
Bahannya adem ga terlalu tipis,1.0
"Baguss bgtt,bahan adem dn tebal,ga terlalu tipis",1.0
Bahanya ga bikinn gerah jatuhh,1.0
Cuma legan ke q kurang panjang dikit,0.0
Nyesel beli cuma satu❤️😂,1.0
"Bahannya panas, terus nerawang, bukan katun kaya yg sebelumnya aku pesan.. sedikit kecewa ihh",0.0
"udah bbrapa kali beli di toko ini, bahannya ga pernah mengecewakan, adem bangetttt",1.0
"Bgaaaaaaaaus bangeeeet tauuu,kayak kemeja yang mahal gituuu,lembut banget lagiii, ini ni bakalan order selalu si",1.0
"rada jengkel sih sama pengirimannya agak lelet tp itukan dr pihak kurir ya bkn dr pihak owner, untuk bajunya bagus bgt😍bahan adem trs jg ga nerawang pokoknya luvvv bgt ga nyesel thank you💖🌻",1.0
"i love it so much!!! bahan rayon emng the best sih, gk begitu tipis dan gk tebel juga, adem parah! suka bgt sama semuanya, pasti bakal beli lagi disini. warnanya cute parah, gemoyyyyyy!",1.0
"kemaren tetangga yg beli, malah keracunan dong
emg sebagus itu gais kemejanya😭",1.0
"Pengirimannya cepet banget. Pesen sabtu pagi, minggu siang sudah sampai. Bajunya juga lumayan lah oke untuk harga segitu. Gak terlalu menerawang (baju putih emang wajar kalau menerawang), bahannya juga flowy&adem. Tapi ternyata panjang bajunya gak sepanjang yang aku bayangin wkwk tapi overall 💖",1.0
Bahan rayon sih emang adem yah cuma tangan y ngatung di aku pas dipake kaya lengan 3/4 blm dicoba semoga gak kegedean thanks...,0.0
"Bagooos. Nyesal cuma beli 1.
Pengemasannua sehari doang. The best sih.",1.0
"Gak meragukan sih, rekomend bgttt. Th u sellerrrr🥰🥰🥰🥰😘😘😘😘",1.0
thank youu ka kacamata nyaa udah sampee nihhh kualitas nyaa bagusss padahal harganya murahh walaupun rada kebesaran tp emg muka aku kecil sih tp gpp aku puasss,1.0
"Kualitas produk sangat baik, real pict cuma pengirimannya agak lama, tpi okelahh dengan harga segitu",1.0
"ternyata tipis,jadi nya ringkih yg putih kaca nya retak,eh yg ini juga kerangka nyabpatah,jadi nya kaca nya lepas,pas di buka packing nya kaca nya lepas,mungkin karna tertumpuk2 jadi pas di expedisi nya ,padahal udah pake buble",0.0
Dari 6 yg di beli 1 kaca nya copot.. varian model nya juga tidak sesuai orderan sebenarnya kecewa walaupun harga murah masa iya jadi rugi karena 1 kacamata TDK bisa d pakai semoga lain kali lebih teliti dalam mengirimkan barang.. mau kasi bintang 2 cuma ga tega..,1.0
"Kacamatanya kurang gelap, aku maunya yg gelap. Kacamatanya dibawa sama adek jadi gak bisa difoto. Makasih yaaa",0.0
"Bagussss kacamatanyaa, mewah yaa kayak mahal banget gt , tebel juga dan no kaleng2 laaahh .",1.0
"Kaca mata yang dateng bagus banget ..
Harga segitu kacamata kelihatan mahal ..
Gak bakal nyesel beli kacamata ini yang ada bakal order lagi ..",1.0
"Pengiriman&pengemasan lumayan cepet, harga murceeee bgt tp keliatan kek mahal, model nya bagusss, thank u",1.0
"Sebenernya gak ada yang rusak sih cuman kaca nya gede banget terus kaya beda samaa gambar nya,, pengiriman nya lama hhe tapi gak papa makasihh",0.0
"Kacamata nya kerennn bangetttt aku sukaa, ditambah kekecewaan badaiii. Bakal jadi langganan ni",1.0
"Kacamatanya dalam keadaan bagus, cuma gagangnya agak longgar dikit yang sebelah tapi oke kok",0.0
"Mantapp tidak perlu diragukan lagi beli disini, pertahankann",1.0
"Saya order kacamata GM Black 10pcs datangnya yang bener cuma 8pcs saja..yang 1pcs tanpa bungkus, dan 1pcs lagi gak tau itu model apa..yang jelas bukan GM. Padahal selalu repeat order lusinan disini. Satu lagi dulu bungkusnya selalu Gentle Monster tapi sekarang Gentle Mustang..tolong next di chek lg",0.0
Sy pesan yg titiknya 3 kok dikirim yg titik 2 klo emang stok gak ada kan bisa bilang ke sy. Ini malah kirim sesuka hati. Padahal aku udah langganan disni udah banyak kali belanja ko kali ini mengecewakan banget,0.0
"Alhamdulillah guys berkali kali order ngga kecewa dengan harga yang gila bangetttt lebih miring dari toko2 lain.
Tengkyu yah kak.
Lancar selalu
Bakal langganan kak.",1.0
"Ternyata sma kaya si gentle mustang coba tau beli satu aja😅
Tingkatkan lagi packingnya bilangnya di live free bubble wrap ternyata dtang cuma pake plastik hitam...
Untung saja tdk ada yg pecah kacamatanya...",0.0
"Paket sudah sampai
Selalu langganan disini sudah sejak lama
Terimakasih seller",1.0
"Terimakasih.... Paket baru saja datang stelah pengiriman lama tapi untung nya sampe sebelum lebaran.... Over all smua barang baguss... Pengemasan oke...............,.......",1.0
Baguss bangetttt.. Bubble wrap tebel jugaa.. Pembelian pertama langsung dua & ga mengecewakan.. Makasihh,1.0
TOKONYA BARANGNYA ADKINNYA EMANG TOP BANGET DIKAISH BUBLE WARP JUGA PADAHAL GAL BELI😣 MAKASIH BANGET ,1.0
Sudah sampai barangnya. . Terimakasih seller walaupun lama pengemasannya. . ,1.0
Penantian yang panjang ya agak lama pengirimannya. Packingnya kebuka gak tau kenapa udah kek gitu tapi untung gda barang yang ilang. ,0.0
"lama sampeknya pdahal ket bukan dr luar negri 
sampe kesel sensiri nunggunya ",0.0
Kacamatanya baguuuss bgt dgn harga semurah ituu. gg kalah sama kacamata yg mahal. thanks seller dan shoppe..,1.0
"Pengiriman lama 
Admin respon lama
Kualitas produk standar
",0.0
Suka bgt brngnya oke 😍 walaupun salah satu brngnya ada yg salah oke lah saya terima😍😍 tapi yang lain oke bgt😍😍,1.0
Mendarat dengan sempurna barangnya bagus2 ga mengecewakan terimakasih yaaa,1.0
Sumpah kece parah sih ini kacamatanya gak nyesel dah beli....,1.0
"mantull lahh untuk harga seginii hihi.. mantapp, semoga tahan lama yaa
pengiriman standar, kacamatanya juga baguss kok worth it lahh 😚",1.0
bagussss cuma pengiriman lamaaaaaaaaaa tapi bagusssssssss,1.0
"Bagus kacamatanya, tapi sayaang pas dateng ke rumah kondisi tangkai kacamata sudah patah, tapi mau gimana lagi hanya satu yang cacat, besok pesen lagi aja",0.0
Ngk tau udah order berapa kali di toko ini pokoknya the best ngk pernah kecewa kalo pesan di toko ini😍,1.0
Oke banget... Aku syukaaaa. Dari segi pengiriman aja sih agak lambat ga kya biasanya. Tapi pas liat barangnya kereeen dech pokonya. Harga murce udh dapat kacamata kece badaii.,1.0
"bagusssssss bangetttttttttt woiiiiiiiiiiii, worth it parah si, pas dimuka aku bikin nambah kekerenanya",1.0
"Parah kece beudddd,m. Murmerrr murah tapi gak murahannn kece badai parahhhh parah prahhh",1.0
Saya pesan 3 tapi kok yang datang cuma satu ya,0.0
Kacamatanya yg di ksh kok gk ada lambangnya ya?? Trs kliatan murahan amat...,0.0
Pesen 7 yang dikirim 1 doang.. respon penjual lama banget minta pengembalian dana gk di respon,0.0
kacamata nya ngga ada padahal pembayaran full dan bukan harganya tp tanggung jawabnya sebagai pelapak di chat ga d bales!!!!!!!,0.0
"Real pict,,,cumannn pengiriman agak lama sihhhhh huhuuuu",0.0
Bagus sukakkkkkk pengirimannya cepet cuma Dari pihak ekspedisi nya aja yg lama,1.0
"Pengemasan tokoh lama sekali melebihi 3hri baru dikirim, pdhal uda minta cancelin aj tpi tetap ga mau. Sementara aku urgent banget barang ny, sekrang brang ny malah ga terpakai",0.0
"Pas mau buka barangnya kurang, kacamata nya gk dikirim, yang dikirm hanya masker dan maskara padahal udh tertera dipengiriman kacamata udh ada, aduhh kecewa bangett sama toko ini, lain kali didouble check lagi yaa min",0.0
Sumpah bener bener kecewa bngt baru beli di toko ini pertama kali malah dibikin kecewa tdinya mau pesen lgi buat kita foto 1 kelas tapi baru pesen pertama udah kayak gini...kacanya cuman sebelah doank mana lepas lagi.....ini gmna si niat ga si untuk jualan!!!! Kecewa bngt sumpah 😒😠,0.0
"Kece banget dong pas dipake... pandangannya enggak langsung jadi gelap bgt, tp oke buat dipakai panas²",1.0
"So gorgeous!!!!! Murah banget lagii cuma 7.5 😭 di toko lain ada yg 50 keratas, dan rata2 belasan ribu :)
Pengemasannya nya aja sih lama, pesen tgl 10 baru nyampe sekarang",1.0
"ya tau sih harganya murah, tp bener bener kaya mainan bgt. bener bener bahan plastik. pdhl ada tmn sblmnya beli di toko ini kacamatanya bagus makanya minta link toko ini. eh pas beli kok bahan kacamatanya beda. dan pengirimannya lama bgt. ga worth it nunggu lama dgn bahan kacamata kaya gini. sorry",0.0
